,Age,Education,EducationNum,MaritalStatus,Relationship,Gender,CapitalGain,HoursPerWeek
191,24, Some-college,10, Married-civ-spouse, Husband,,0.0,40
193,47, Some-college,10, Married-civ-spouse, Husband, Male,0.0,45
195,23,,3, Married-civ-spouse, Other-relative,,,40
196,36, Some-college,10, Divorced, Not-in-family, Male,0.0,40
198,35, Masters,14, Married-civ-spouse, Other-relative, Male,7298.0,40
200,26, Masters,14, Never-married, Not-in-family, Female,0.0,40
202,51, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,50
205,18, 11th,7, Never-married, Own-child, Female,0.0,40
206,36, Bachelors,13, Married-civ-spouse, Husband,,7298.0,36
207,35, HS-grad,9, Divorced, Not-in-family, Male,0.0,60
209,17, 11th,7, Never-married, Own-child, Female,,12
211,37, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,40
212,35, Some-college,10, Never-married, Not-in-family,,0.0,40
213,60, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,40
215,37, Bachelors,13, Never-married, Not-in-family, Male,0.0,60
216,50, Assoc-acdm,12, Divorced, Not-in-family, Female,0.0,40
217,38, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,50
218,45, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,55
219,25, 10th,6, Never-married, Not-in-family, Male,0.0,40
220,31, Some-college,10, Married-civ-spouse, Husband, Male,,40
222,90, HS-grad,9, Never-married, Not-in-family, Male,0.0,40
223,54, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,20
225,18, HS-grad,9, Never-married, Own-child, Female,0.0,40
228,75, Assoc-voc,11, Widowed, Not-in-family, Female,,20
229,65, HS-grad,9, Divorced, Not-in-family,,0.0,40
230,35, 11th,7, Separated, Not-in-family, Male,3674.0,40
231,41, HS-grad,9, Divorced, Unmarried, Female,0.0,38
232,25, Some-college,10, Never-married, Not-in-family,,0.0,42
233,33, Some-college,10, Divorced, Other-relative, Female,0.0,40
234,28, Prof-school,15, Never-married, Not-in-family, Male,0.0,55
237,41,,13, Married-civ-spouse, Husband, Male,0.0,50
239,23, HS-grad,9, Never-married, Own-child, Male,0.0,40
240,40, Bachelors,13, Married-civ-spouse, Husband, Male,,40
244,38, Some-college,10, Divorced, Not-in-family, Male,0.0,40
245,56, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,35
246,58, HS-grad,9, Married-civ-spouse, Husband,,0.0,45
247,32, HS-grad,9, Never-married, Not-in-family, Female,0.0,34
248,40, Assoc-acdm,12, Married-civ-spouse, Husband, Male,,60
249,45, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,40
250,41, Prof-school,15, Married-civ-spouse, Wife, Female,,40
251,42,,13, Married-civ-spouse, Wife, Female,0.0,40
254,58, Some-college,10, Never-married, Not-in-family, Male,0.0,20
256,20, HS-grad,9, Never-married, Own-child, Female,,40
257,32, HS-grad,9, Separated, Not-in-family, Female,0.0,30
258,45, Assoc-voc,11, Widowed, Not-in-family, Female,0.0,45
259,50, 7th-8th,4, Divorced, Not-in-family, Male,0.0,40
260,36, Bachelors,13, Divorced, Own-child, Female,0.0,40
261,45, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,60
262,17, 11th,7, Never-married, Own-child, Male,0.0,12
263,59, Some-college,10, Married-civ-spouse, Husband, Male,4064.0,40
264,26, 11th,7, Married-civ-spouse, Husband, Male,0.0,40
267,64, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,40
268,33, Bachelors,13, Never-married, Not-in-family,,0.0,45
269,33, HS-grad,9, Married-civ-spouse, Wife, Female,0.0,40
270,61, HS-grad,9, Married-civ-spouse, Husband,,0.0,40
271,17, 9th,5, Never-married, Own-child, Male,1055.0,24
274,30, HS-grad,9, Divorced, Own-child, Female,0.0,40
275,43, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,40
276,44, Some-college,10, Married-civ-spouse, Husband, Male,7298.0,40
277,35, Some-college,10, Never-married, Not-in-family, Female,0.0,40
278,25, Some-college,10, Never-married, Own-child, Female,0.0,40
279,24, Some-college,10, Married-civ-spouse, Wife, Female,,48
280,22, Bachelors,13, Never-married, Not-in-family,,0.0,15
282,34, Assoc-acdm,12, Divorced, Unmarried, Female,0.0,45
283,60, Bachelors,13, Divorced, Not-in-family, Female,0.0,42
286,41, Prof-school,15, Married-civ-spouse, Husband, Male,,60
287,50, Some-college,10, Divorced, Not-in-family, Male,0.0,45
288,25, Bachelors,13, Never-married, Not-in-family, Female,0.0,40
289,50, 7th-8th,4, Married-civ-spouse, Husband, Male,0.0,40
290,36, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,45
291,31, HS-grad,9, Divorced, Not-in-family, Female,0.0,40
293,21, Some-college,10, Never-married, Own-child, Male,,45
294,27, Bachelors,13, Never-married, Unmarried, Female,0.0,40
295,65, HS-grad,9, Married-civ-spouse, Husband, Male,,16
298,24, HS-grad,9, Never-married, Own-child, Male,,40
299,38, HS-grad,9, Divorced, Not-in-family, Male,,80
300,48, Bachelors,13, Married-civ-spouse, Husband, Male,7688.0,40
301,21, Some-college,10, Never-married, Not-in-family, Female,,25
302,31, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,45
303,55, HS-grad,9, Married-civ-spouse, Husband, Male,4386.0,40
304,24, Some-college,10, Married-civ-spouse, Wife, Female,0.0,40
305,43, HS-grad,9, Divorced, Not-in-family,,0.0,40
306,26, Assoc-acdm,12, Never-married, Not-in-family, Male,0.0,45
307,46, Assoc-acdm,12, Never-married, Not-in-family, Female,0.0,33
308,35, Assoc-acdm,12, Married-civ-spouse, Husband, Male,,40
310,26, Bachelors,13, Never-married, Not-in-family, Male,0.0,40
311,34, Masters,14, Married-civ-spouse, Husband, Male,7298.0,35
314,22, Some-college,10, Never-married, Own-child, Male,0.0,15
315,24, Some-college,10, Never-married, Not-in-family, Male,0.0,40
317,22, 5th-6th,3, Married-civ-spouse, Other-relative, Female,0.0,40
318,29, Some-college,10, Never-married, Not-in-family, Female,0.0,40
319,62, HS-grad,9, Widowed, Not-in-family, Female,0.0,24
321,43, Some-college,10, Married-civ-spouse, Husband, Male,0.0,50
322,35, HS-grad,9, Divorced, Not-in-family, Male,0.0,45
323,29, 11th,7, Never-married, Not-in-family, Female,0.0,40
327,43, Some-college,10, Married-civ-spouse, Wife, Female,0.0,50
329,66, HS-grad,9, Never-married, Not-in-family, Male,2050.0,55
330,41, Some-college,10, Never-married, Not-in-family, Male,,45
332,47, Assoc-voc,11, Never-married, Not-in-family, Male,0.0,40
334,53, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,40
335,17, 5th-6th,3, Never-married, Other-relative, Male,0.0,48
336,30, HS-grad,9, Never-married, Other-relative, Male,0.0,40
337,49, Masters,14, Never-married, Not-in-family, Male,0.0,60
338,19, HS-grad,9, Never-married, Unmarried, Male,0.0,30
340,26, Assoc-acdm,12, Never-married, Not-in-family,,0.0,40
341,38, Assoc-voc,11, Married-civ-spouse, Husband, Male,,40
343,33, HS-grad,9, Never-married, Not-in-family,,0.0,20
348,56, Assoc-acdm,12, Married-spouse-absent, Not-in-family, Male,,25
349,31, Bachelors,13, Never-married, Own-child, Male,,25
350,33, Bachelors,13, Married-civ-spouse, Husband, Male,,40
351,26, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,40
356,65, 11th,7, Widowed, Unmarried, Male,0.0,40
357,40, Assoc-voc,11, Married-civ-spouse, Husband,,0.0,40
358,42, HS-grad,9, Married-civ-spouse, Wife, Female,0.0,35
360,36,,6, Married-civ-spouse, Wife, Female,0.0,24
361,62, Masters,14, Married-civ-spouse, Husband, Male,0.0,40
362,43, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,45
363,43, Bachelors,13, Divorced, Not-in-family, Male,,45
364,22, HS-grad,9, Married-spouse-absent, Not-in-family,,0.0,55
365,28, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,40
367,22, Assoc-acdm,12, Never-married, Not-in-family, Female,0.0,15
368,57, Bachelors,13, Divorced, Not-in-family, Female,0.0,45
369,39,,9, Divorced, Unmarried, Female,0.0,40
371,17, 11th,7, Never-married, Own-child, Male,0.0,10
374,44, HS-grad,9, Never-married, Not-in-family, Male,0.0,40
379,38, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,50
380,54, HS-grad,9, Divorced, Not-in-family, Male,0.0,40
381,46, 5th-6th,3, Divorced, Not-in-family,,0.0,45
382,25, Some-college,10, Married-civ-spouse, Husband, Male,0.0,40
383,46, Some-college,10, Divorced, Not-in-family, Female,0.0,40
385,23, HS-grad,9, Never-married, Not-in-family,,0.0,25
386,29, HS-grad,9, Separated, Not-in-family, Male,0.0,40
387,44, Some-college,10, Married-civ-spouse, Wife, Female,0.0,6
388,19, Some-college,10, Never-married, Own-child, Female,0.0,16
389,19, HS-grad,9, Never-married, Other-relative, Female,0.0,40
390,35, HS-grad,9, Married-civ-spouse, Wife, Female,,40
391,27, Bachelors,13, Never-married, Not-in-family,,0.0,50
394,34, HS-grad,9, Never-married, Not-in-family, Female,0.0,35
395,44, Some-college,10, Married-civ-spouse, Husband, Male,0.0,40
396,45,,10, Divorced, Unmarried, Female,,40
398,25, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,55
400,20,,10, Never-married, Own-child, Male,0.0,40
401,28, Some-college,10, Never-married, Not-in-family, Female,,40
403,34, Assoc-voc,11, Divorced, Not-in-family, Female,0.0,64
404,28, 7th-8th,4, Married-civ-spouse, Husband, Male,0.0,40
405,41, Masters,14, Married-civ-spouse, Husband, Male,0.0,65
409,32, Some-college,10, Married-civ-spouse, Husband, Male,0.0,50
411,24, HS-grad,9, Never-married, Unmarried, Female,0.0,40
412,33, Some-college,10, Divorced, Unmarried, Female,0.0,40
413,46, Doctorate,16, Married-civ-spouse, Husband, Male,15024.0,60
415,35, 12th,8, Divorced, Not-in-family, Male,,50
416,52, 1st-4th,2, Married-civ-spouse, Husband, Male,0.0,40
417,30,,7, Never-married, Own-child, Female,0.0,19
420,20, Some-college,10, Married-civ-spouse, Husband, Male,0.0,30
421,17, 11th,7, Never-married, Own-child, Male,2176.0,18
423,29,,9, Divorced, Not-in-family, Male,0.0,40
424,33, 10th,6, Never-married, Unmarried, Female,0.0,35
425,25, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,60
427,23, HS-grad,9, Never-married, Not-in-family, Male,,72
433,30, Assoc-acdm,12, Married-civ-spouse, Wife, Female,0.0,25
434,27, Some-college,10, Never-married, Own-child, Male,0.0,40
438,23, Some-college,10, Married-civ-spouse, Husband, Male,0.0,40
440,29,,13, Never-married, Not-in-family,,0.0,40
441,45, HS-grad,9, Divorced, Not-in-family, Female,0.0,28
443,44, Some-college,10, Married-civ-spouse, Husband,,0.0,40
444,27, 9th,5, Never-married, Other-relative, Male,0.0,40
445,20, Some-college,10, Never-married, Not-in-family, Male,0.0,35
446,44, HS-grad,9, Widowed, Unmarried, Female,0.0,40
447,51, HS-grad,9, Married-civ-spouse, Husband, Male,,40
448,20, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,40
450,19, HS-grad,9, Never-married, Own-child, Female,,40
452,60, HS-grad,9, Married-civ-spouse, Husband, Male,,40
453,42, Assoc-acdm,12, Married-civ-spouse, Husband, Male,0.0,40
456,30, HS-grad,9, Married-civ-spouse, Wife, Female,0.0,40
457,38, Some-college,10, Married-civ-spouse, Husband,,,50
458,23, HS-grad,9, Married-civ-spouse, Husband, Male,,60
460,44, Assoc-acdm,12, Never-married, Own-child, Male,0.0,40
462,32, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,50
463,50, 1st-4th,2, Married-spouse-absent, Unmarried, Male,,40
464,24, Bachelors,13, Never-married, Not-in-family, Female,0.0,20
465,37, HS-grad,9, Married-civ-spouse, Wife, Female,0.0,60
466,52, HS-grad,9, Divorced, Unmarried, Male,0.0,40
467,38, Some-college,10, Married-civ-spouse, Husband, Male,0.0,40
468,49, Masters,14, Married-civ-spouse, Husband, Male,0.0,45
469,30, Bachelors,13, Married-civ-spouse, Wife, Female,0.0,16
470,60, Some-college,10, Never-married, Unmarried,,0.0,40
472,35,,9, Never-married, Not-in-family, Male,,40
473,30, HS-grad,9, Never-married, Not-in-family, Male,0.0,60
474,67, Assoc-voc,11, Divorced, Not-in-family, Female,0.0,24
475,46, Bachelors,13, Never-married, Not-in-family, Female,0.0,40
476,17, 9th,5, Never-married, Not-in-family, Male,0.0,6
477,22, Some-college,10, Never-married, Own-child, Male,0.0,30
478,27, 10th,6, Never-married, Not-in-family, Male,,40
479,23, HS-grad,9, Never-married, Unmarried, Female,,35
480,33, Assoc-acdm,12, Married-civ-spouse, Husband, Male,0.0,45
483,41, HS-grad,9, Married-spouse-absent, Unmarried, Female,,40
485,25, Some-college,10, Married-spouse-absent, Own-child, Female,0.0,20
489,38, Bachelors,13, Married-civ-spouse, Husband, Male,15024.0,60
490,40, HS-grad,9, Never-married, Not-in-family, Female,0.0,35
492,35, Assoc-acdm,12, Never-married, Not-in-family, Female,0.0,60
493,34, HS-grad,9, Divorced, Unmarried,,0.0,25
494,33, Bachelors,13, Never-married, Own-child, Male,0.0,20
495,41, HS-grad,9, Divorced, Unmarried, Female,0.0,36
496,20, Some-college,10, Never-married, Own-child, Male,0.0,40
497,23, 5th-6th,3, Never-married, Own-child,,0.0,40
498,26, Some-college,10, Never-married, Not-in-family, Female,0.0,35
502,52, Some-college,10, Married-civ-spouse, Husband, Male,,40
503,58, Some-college,10, Divorced, Unmarried,,,42
505,24, Bachelors,13, Never-married, Not-in-family,,0.0,40
506,19, Some-college,10, Never-married, Own-child, Male,0.0,8
509,39, HS-grad,9, Divorced, Unmarried, Female,0.0,40
510,49, Assoc-voc,11, Married-spouse-absent, Unmarried, Male,0.0,42
512,32, Assoc-voc,11, Never-married, Not-in-family, Male,0.0,45
513,34, Some-college,10, Married-civ-spouse, Husband, Male,,50
514,28, HS-grad,9, Divorced, Not-in-family, Male,0.0,45
516,25, Some-college,10, Never-married, Not-in-family, Female,0.0,20
519,34, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,50
521,50, HS-grad,9, Married-civ-spouse, Husband, Male,7688.0,50
524,44, Some-college,10, Divorced, Unmarried, Male,0.0,58
525,28, Some-college,10, Married-civ-spouse, Wife, Female,0.0,40
526,42, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,40
527,74, Some-college,10, Divorced, Not-in-family, Female,0.0,9
530,44,,7, Divorced, Unmarried, Female,0.0,46
531,26, HS-grad,9, Never-married, Not-in-family, Male,0.0,40
532,36, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,40
533,41, Assoc-acdm,12, Married-civ-spouse, Wife,,,50
534,67, Prof-school,15, Married-civ-spouse, Husband, Male,20051.0,48
536,57, 1st-4th,2, Widowed, Not-in-family,,0.0,30
537,29, Assoc-voc,11, Separated, Not-in-family, Male,0.0,40
541,29, Doctorate,16, Never-married, Own-child, Male,0.0,40
542,30, Some-college,10, Never-married, Unmarried, Female,,40
543,27, HS-grad,9, Never-married, Not-in-family, Male,,40
544,27,,10, Married-civ-spouse, Husband, Male,0.0,50
545,32, HS-grad,9, Never-married, Not-in-family,,,45
546,58, 10th,6, Married-civ-spouse, Wife, Female,,8
548,21, HS-grad,9, Never-married, Own-child, Male,0.0,36
549,28, Some-college,10, Never-married, Unmarried,,0.0,40
552,72, 11th,7, Widowed, Unmarried, Female,0.0,40
555,69, 11th,7, Never-married, Not-in-family, Female,0.0,40
556,35, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,40
557,31, HS-grad,9, Separated, Unmarried, Female,0.0,20
558,34, HS-grad,9, Married-civ-spouse, Wife, Female,0.0,32
559,30, 11th,7, Married-civ-spouse, Husband, Male,0.0,40
560,28, Bachelors,13, Never-married, Not-in-family, Male,0.0,55
561,54, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,35
562,47, Some-college,10, Married-civ-spouse, Husband, Male,,50
563,24, HS-grad,9, Never-married, Unmarried,,0.0,40
565,20, HS-grad,9, Never-married, Own-child, Male,0.0,48
567,45, 7th-8th,4, Separated, Unmarried,,0.0,40
569,47, Masters,14, Divorced, Unmarried, Male,,42
570,24, HS-grad,9, Never-married, Own-child, Male,0.0,40
571,51,,9, Married-civ-spouse, Husband,,0.0,40
573,37, Assoc-voc,11, Married-civ-spouse, Husband, Male,0.0,40
574,27, Doctorate,16, Never-married, Not-in-family, Female,,70
575,29, Bachelors,13, Married-civ-spouse, Wife, Male,0.0,40
581,57, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,40
582,59, HS-grad,9, Married-civ-spouse, Husband,,0.0,40
583,27, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,40
585,21, Some-college,10, Never-married, Own-child, Female,0.0,24
586,29, Some-college,10, Never-married, Not-in-family, Male,0.0,60
587,18,,7, Never-married, Own-child, Male,0.0,40
588,52, 10th,6, Married-civ-spouse, Husband, Male,0.0,47
592,60, 7th-8th,4, Never-married, Not-in-family, Male,0.0,48
593,31, Bachelors,13, Married-civ-spouse, Husband, Male,7688.0,40
594,23, Bachelors,13, Never-married, Own-child,,0.0,40
595,27, HS-grad,9, Never-married, Own-child, Male,0.0,40
598,25, Some-college,10, Never-married, Not-in-family, Male,,40
599,49, Bachelors,13, Never-married, Not-in-family,,0.0,45
600,32, Bachelors,13, Never-married, Not-in-family, Male,0.0,40
601,19, Some-college,10, Never-married, Own-child,,0.0,28
602,60, 7th-8th,4, Divorced, Not-in-family, Female,0.0,40
605,48, HS-grad,9, Never-married, Unmarried, Female,0.0,37
606,51, Masters,14, Married-civ-spouse, Husband, Male,0.0,40
607,29, HS-grad,9, Never-married, Not-in-family, Male,0.0,40
609,17, 10th,6, Never-married, Own-child,,0.0,21
610,52, Masters,14, Divorced, Not-in-family, Female,6849.0,60
611,24, HS-grad,9, Never-married, Not-in-family, Male,0.0,40
612,24, HS-grad,9, Married-civ-spouse, Husband,,0.0,50
614,27, Bachelors,13, Never-married, Own-child, Female,,20
615,39, HS-grad,9, Never-married, Own-child, Male,0.0,60
616,30, HS-grad,9, Married-civ-spouse, Husband, Male,,45
619,46, Prof-school,15, Married-civ-spouse, Husband, Male,15024.0,45
620,23, Bachelors,13, Never-married, Own-child, Female,0.0,20
621,45, 11th,7, Widowed, Not-in-family, Female,0.0,20
622,65,,5, Widowed, Unmarried, Female,,24
623,29, Assoc-voc,11, Married-civ-spouse, Husband, Male,,55
624,47, 9th,5, Married-spouse-absent, Unmarried, Male,0.0,40
625,30, HS-grad,9, Never-married, Own-child, Male,,60
626,34, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,45
628,33, Some-college,10, Married-civ-spouse, Husband,,0.0,40
629,49, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,26
632,43, Some-college,10, Married-civ-spouse, Husband, Male,15024.0,60
633,30, Bachelors,13, Married-civ-spouse, Wife, Female,0.0,40
635,19, HS-grad,9, Never-married, Own-child, Female,0.0,14
636,21, Bachelors,13, Never-married, Not-in-family, Male,0.0,40
637,33, Bachelors,13, Married-civ-spouse, Husband, Male,15024.0,60
640,26, HS-grad,9, Divorced, Not-in-family, Male,0.0,55
643,36, Some-college,10, Married-civ-spouse, Husband, Male,,50
644,31, Some-college,10, Married-civ-spouse, Husband, Male,0.0,45
